"","AppId","Rank","ReleaseDate","Category","Price","Seller","Developer","Screenshot","Size","StarsAllVersions","RatingsAllVersions","StarsCurrentVersion","RatingsCurrentVersion","Version","UpdatedDate","TopInAppPurchases","dummy_Book","dummy_Business","dummy_Education","dummy_Finance","dummy_Games","dummy_Medical","dummy_Music","dummy_Productivity","equalSD","Bigcom","AppAge","Version_2","UpCyle"
"1386",473660842,190,2011-11-17,"Games",0.99,"Donut Games","Donut Games",3,9.12,4.5,23978,4.5,1305,"1.11","2012-08-09",0,0,0,0,0,1,0,0,0,1,0,411,1,411
"1387",324563544,191,2009-08-10,"Games",2.99,"2K Games","2K Games",5,93.46,4,32135,4.5,3199,"1.7.6","2012-06-11",0,0,0,0,0,1,0,0,0,1,0,1240,1,1240
"1388",424209938,192,2011-04-28,"Games",1.99,"Toca Boca AB","Toca Boca AB",5,14.57,4,225,4,101,"1.1.2","2012-03-21",0,0,0,0,0,1,0,0,0,1,0,614,1,614
"1389",465072566,193,2011-10-08,"Games",4.99,"FISHLABS","FISHLABS",5,563.86,4.5,5185,4.5,304,"1.1.3","2012-11-20",10,0,0,0,0,1,0,0,0,1,0,451,1,451
"1390",564766224,194,2012-11-15,"Games",0.99,"Ravenous Games Inc.","Ravenous Games Inc.",5,10.63,4,235,4,235,"1"," Nov 15, 2012",0,0,0,0,0,1,0,0,0,1,0,47,1,47
"1391",537433040,195,2012-06-28,"Games",1.99,"Jesse Manuel","Jericho Games",5,12.83,4.5,1093,3.5,21,"1.8","2012-12-06",3,0,0,0,0,1,0,0,0,0,0,187,1,187
"1392",474205928,196,2011-12-08,"Games",0.99,"Ludia","Ludia",5,296.24,4,5936,4,5936,"1.0.0"," Dec 08, 2011",0,0,0,0,0,1,0,0,0,1,0,390,1,390
"1393",471857988,197,2011-11-16,"Games",1.99,"Days of Wonder","Days Of Wonder, Inc.",5,20.35,4.5,19823,4.5,620,"1.3","2012-11-08",1,0,0,0,0,1,0,0,0,1,0,412,1,412
"1394",560298057,198,2012-10-26,"Games",1.99,"Scopely - Top Free Apps and Games LLC","Scopely - Top Free Apps and Games LLC",5,46.47,4.5,400,4.5,258,"1.5","2012-11-06",9,0,0,0,0,1,0,0,0,1,0,67,1,67
"1395",323242790,199,2009-07-25,"Games",0.99,"ganawoo choi","BLUE",5,12.6,3.5,36131,4,24,"114","2012-10-15",3,0,0,0,0,1,0,0,0,0,0,1256,1,1256
"1396",414664715,200,2011-04-27,"Games",6.99,"Gameloft S.A.","Gameloft",5,1087.39,4.5,20395,4.5,1788,"1.1.4","2012-09-23",10,0,0,0,0,1,0,0,0,1,0,615,1,615
"1397",537524388,201,2012-09-06,"Games",0.99,"Choofun Games Handelsbolag","ChooFun Games",5,24.86,3.5,272,4,71,"1.1","2012-10-23",5,0,0,0,0,1,0,0,0,1,0,117,1,117
